topic,ele_code,ele_amount,name,long_name
12,7412,37950.76,Advanced Tech Education Prog,Advanced Tech Education Prog
12,104Y,42660.01,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
12,162Y,91704.42,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
12,7980,368669.88,ECR-EHR Core Research,ECR-EHR Core Research
12,7261,716689.46,Project & Program Evaluation,Project & Program Evaluation
12,1997,2526418.28,NRT,NSF Research Traineeship (NRT)
12,8060,2807826.17,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
12,1668,2860166.5,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
12,7172,8452533.26,Graduate Research Fellowship,Graduate Research Fellowship
13,055Y,4928.43,CISE Education and Workforce,CISE Education and Workforce
13,1998,4928.43,IUSE,Imploving Undergraduate STEM Education (IUSE)
13,062Y,9791.11,GCR-Growing Convergence Research,GCR-Growing Convergence Research
13,7259,9791.11,AISL,Advencing Informal STEM Learning
13,7959,11794,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
13,1253,20134.23,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
13,7699,23893.78,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
13,7645,27424.06,Discovery Research K-12,Discovery Research K-12
13,8624,29860.29,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
13,154Y,35776.77,GVF - Global Venture Fund,GVF - Global Venture Fund
13,9150,38269.07,EPSCoR Co-Funding,EPSCoR Co-Funding
13,125Y,43276.71,Science of Science,Science of Science
13,1536,45001.79,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
13,7412,49038.77,Advanced Tech Education Prog,Advanced Tech Education Prog
13,107Y,55727.55,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
13,7275,59270.5,Cross-EF Activities,Cross-EF Activities
13,104Y,69733.78,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
13,162Y,224052.65,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
13,8060,540703.74,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
13,7261,1147210.24,Project & Program Evaluation,Project & Program Evaluation
13,1668,1822737.7,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
13,1997,3630484.8,NRT,NSF Research Traineeship (NRT)
13,7980,4263040.29,ECR-EHR Core Research,ECR-EHR Core Research
13,7172,12796847.8,Graduate Research Fellowship,Graduate Research Fellowship
14,055Y,1232.11,CISE Education and Workforce,CISE Education and Workforce
14,1998,1232.11,IUSE,Imploving Undergraduate STEM Education (IUSE)
14,7645,11753.17,Discovery Research K-12,Discovery Research K-12
14,7959,14742.5,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
14,062Y,27415.12,GCR-Growing Convergence Research,GCR-Growing Convergence Research
14,7259,27415.12,AISL,Advencing Informal STEM Learning
14,8624,29273.14,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
14,7699,42477.83,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
14,7275,54711.23,Cross-EF Activities,Cross-EF Activities
14,107Y,60371.52,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
14,1536,63510.92,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
14,7412,65125.71,Advanced Tech Education Prog,Advanced Tech Education Prog
14,104Y,67330.86,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
14,154Y,133534.37,GVF - Global Venture Fund,GVF - Global Venture Fund
14,125Y,134385.59,Science of Science,Science of Science
14,162Y,143877,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
14,9150,195167.3,EPSCoR Co-Funding,EPSCoR Co-Funding
14,1253,231543.62,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
14,8060,694516.36,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
14,7980,1028380.18,ECR-EHR Core Research,ECR-EHR Core Research
14,7261,1655332.46,Project & Program Evaluation,Project & Program Evaluation
14,1668,2227382.05,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
14,1997,7502359.09,NRT,NSF Research Traineeship (NRT)
14,7172,20777190.56,Graduate Research Fellowship,Graduate Research Fellowship
15,055Y,3696.32,CISE Education and Workforce,CISE Education and Workforce
15,1998,3696.32,IUSE,Imploving Undergraduate STEM Education (IUSE)
15,062Y,5874.67,GCR-Growing Convergence Research,GCR-Growing Convergence Research
15,7259,5874.67,AISL,Advencing Informal STEM Learning
15,7645,11753.17,Discovery Research K-12,Discovery Research K-12
15,125Y,13666.33,Science of Science,Science of Science
15,7275,18237.08,Cross-EF Activities,Cross-EF Activities
15,1253,20134.23,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
15,8624,25528.74,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
15,9150,27523.58,EPSCoR Co-Funding,EPSCoR Co-Funding
