topic,ele_code,freq,name,long_name
11,7645,1,Discovery Research K-12,Discovery Research K-12
11,125Y,1,Science of Science,Science of Science
11,7275,1,Cross-EF Activities,Cross-EF Activities
11,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
11,7259,1,AISL,Advencing Informal STEM Learning
11,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
11,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
11,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
11,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
11,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
11,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
11,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
11,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
11,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
11,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
11,7261,53,Project & Program Evaluation,Project & Program Evaluation
11,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
11,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
11,1997,121,NRT,NSF Research Traineeship (NRT)
12,055Y,1,CISE Education and Workforce,CISE Education and Workforce
12,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
12,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
12,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
12,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
12,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
12,7645,1,Discovery Research K-12,Discovery Research K-12
12,125Y,1,Science of Science,Science of Science
12,7275,1,Cross-EF Activities,Cross-EF Activities
12,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
12,7259,1,AISL,Advencing Informal STEM Learning
12,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
12,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
12,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
12,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
12,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
12,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
12,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
12,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
12,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
12,7261,53,Project & Program Evaluation,Project & Program Evaluation
12,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
12,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
12,1997,121,NRT,NSF Research Traineeship (NRT)
13,055Y,1,CISE Education and Workforce,CISE Education and Workforce
13,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
13,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
13,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
13,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
13,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
13,7645,1,Discovery Research K-12,Discovery Research K-12
13,125Y,1,Science of Science,Science of Science
13,7275,1,Cross-EF Activities,Cross-EF Activities
13,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
13,7259,1,AISL,Advencing Informal STEM Learning
13,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
13,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
13,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
13,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
13,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
13,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
13,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
13,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
13,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
13,7261,53,Project & Program Evaluation,Project & Program Evaluation
13,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
13,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
13,1997,121,NRT,NSF Research Traineeship (NRT)
14,055Y,1,CISE Education and Workforce,CISE Education and Workforce
14,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
14,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
14,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
14,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
14,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
14,7645,1,Discovery Research K-12,Discovery Research K-12
14,125Y,1,Science of Science,Science of Science
14,7275,1,Cross-EF Activities,Cross-EF Activities
14,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
14,7259,1,AISL,Advencing Informal STEM Learning
14,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
14,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
14,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
14,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
14,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
14,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
14,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
14,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
14,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
14,7261,53,Project & Program Evaluation,Project & Program Evaluation
14,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
14,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
14,1997,121,NRT,NSF Research Traineeship (NRT)
15,055Y,1,CISE Education and Workforce,CISE Education and Workforce
15,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
15,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
15,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
15,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
15,7645,1,Discovery Research K-12,Discovery Research K-12
15,125Y,1,Science of Science,Science of Science
15,7275,1,Cross-EF Activities,Cross-EF Activities
15,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
15,7259,1,AISL,Advencing Informal STEM Learning
15,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
15,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
15,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
15,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
15,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
15,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
15,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
15,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
15,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
15,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
15,7261,53,Project & Program Evaluation,Project & Program Evaluation
15,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
15,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
15,1997,121,NRT,NSF Research Traineeship (NRT)
16,055Y,1,CISE Education and Workforce,CISE Education and Workforce
16,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
16,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
16,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
16,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
16,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
16,7645,1,Discovery Research K-12,Discovery Research K-12
16,125Y,1,Science of Science,Science of Science
16,7275,1,Cross-EF Activities,Cross-EF Activities
16,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
16,7259,1,AISL,Advencing Informal STEM Learning
16,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
16,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
16,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
16,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
16,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
