topic,ele_code,weight_freq,name,long_name
10,8624,0.029,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
10,062Y,0.069,GCR-Growing Convergence Research,GCR-Growing Convergence Research
10,7259,0.069,AISL,Advencing Informal STEM Learning
10,7172,0.075,Graduate Research Fellowship,Graduate Research Fellowship
10,7699,0.096,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
10,7959,0.105,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
10,107Y,0.111,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
10,7275,0.164,Cross-EF Activities,Cross-EF Activities
10,1253,0.168,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
10,154Y,0.243,GVF - Global Venture Fund,GVF - Global Venture Fund
10,104Y,0.281,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
10,9150,0.291,EPSCoR Co-Funding,EPSCoR Co-Funding
10,162Y,0.304,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
10,7980,0.784,ECR-EHR Core Research,ECR-EHR Core Research
10,1668,1.122,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
10,8060,1.279,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
10,7261,4.285,Project & Program Evaluation,Project & Program Evaluation
10,1997,15.563,NRT,NSF Research Traineeship (NRT)
11,062Y,0.001,GCR-Growing Convergence Research,GCR-Growing Convergence Research
11,7259,0.001,AISL,Advencing Informal STEM Learning
11,7275,0.003,Cross-EF Activities,Cross-EF Activities
11,1253,0.005,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
11,7699,0.006,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
11,107Y,0.014,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
11,7959,0.016,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
11,055Y,0.022,CISE Education and Workforce,CISE Education and Workforce
11,1998,0.022,IUSE,Imploving Undergraduate STEM Education (IUSE)
11,104Y,0.024,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
11,154Y,0.029,GVF - Global Venture Fund,GVF - Global Venture Fund
11,1536,0.03,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
11,9150,0.039,EPSCoR Co-Funding,EPSCoR Co-Funding
11,7412,0.045,Advanced Tech Education Prog,Advanced Tech Education Prog
11,8624,0.052,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
11,7645,0.1,Discovery Research K-12,Discovery Research K-12
11,7172,0.101,Graduate Research Fellowship,Graduate Research Fellowship
11,125Y,0.109,Science of Science,Science of Science
11,7261,0.698,Project & Program Evaluation,Project & Program Evaluation
11,1668,1.069,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
11,8060,1.748,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
11,1997,2.622,NRT,NSF Research Traineeship (NRT)
