document,topic,gamma,amount,ele_code
2125872,2,0.040669856,3.00E+06,"1997, 9150"
2039606,2,0.039877301,308000,8060
2125733,2,0.039634146,3.00E+06,1997
2031066,2,0.039426523,263216,7980
2043324,2,0.039426523,1917081,1668
1937251,2,0.039393939,1195630,"162Y, 7980"
2037658,2,0.039215686,4.00E+05,8060
1828571,2,0.039039039,2998366,"1997, 7261"
2039408,2,0.038461538,299810,8060
2125865,2,0.038356164,2999920,1997
1922658,2,0.038216561,3.00E+06,1997
2100139,2,0.037542662,1334745,"125Y, 7980"
2022040,2,0.037037037,2999525,1997
1922512,2,0.036931818,2999661,"1997, 7261"
2043022,2,0.036923077,957943,
2043237,2,0.036697248,1422198,1668
2037360,2,0.036585366,236486,"162y, 7980"
1922579,2,0.036065574,2822789,"1997, 7261"
1922560,2,0.035714286,2999379,"1997, 7261"
1937778,2,0.03539823,385300,"162Y, 7980"
1761008,2,0.034602076,2534716,7980
2100155,2,0.034267913,764191,7980
2022138,2,0.033950617,3.00E+06,1997
2125727,2,0.033846154,2998922,1997
2043106,2,0.033613445,1383804,
1931724,2,0.033613445,532000,8060
2126031,2,0.033112583,293442,162Y
1953525,2,0.033057851,1376908,"1997, 7980"
2123024,2,0.033018868,59286,1668
1842096,2,0.032894737,7564135,"1536, 1668, 7412"
2115008,2,0.032608696,297575,8060
1943041,2,0.032520325,290745,7980
1828993,2,0.032258065,3.00E+06,"1997, 7261"
2024020,2,0.031948882,313087,162Y
2114789,2,0.031847134,3.00E+05,8060
1921840,2,0.031746032,2527837,1668
1753681,2,0.031545741,3003088,1668
2021744,2,0.031531532,2999999,1997
2043302,2,0.031347962,907904,1668
1828288,2,0.030927835,2995676,"1997, 9150"
1941415,2,0.030674847,1658202,1668
1828942,2,0.030640669,2907236,"1997, 7261"
1821829,2,0.030150754,299998,8060
1937490,2,0.030075188,1425654,7980
1820609,2,0.029661017,499594,1668
1842074,2,0.029411765,NA,NA
2039354,2,0.029304029,313881,8060
2100134,2,0.029239766,399826,1668
1914613,2,0.029220779,497356,"7412, 8060"
1922598,2,0.02905569,2999928,"1997, 7261"
1821560,2,0.028708134,299999,8060
2032122,2,0.028481013,145000,7980
2126023,2,0.028340081,349948,162Y
2021900,2,0.028328612,2994994,1997
2125703,2,0.027932961,925924,1997
2025046,2,0.027918782,277359,162Y
2112689,2,0.027874564,48765,7980
2125677,2,0.027638191,3.00E+06,1997
1821666,2,0.027559055,3.00E+05,8060
1922398,2,0.027522936,2574805,1668
1821780,2,0.02734375,308000,"1668, 8060"
1922761,2,0.026954178,2999998,"1997, 7261"
1828974,2,0.026809651,3020324,"1997, 7261"
1821788,2,0.026737968,315984,8060
1903423,2,0.026717557,499164,8060
2039634,2,0.026706231,3.00E+05,8060
1920560,2,0.026699029,1489273,7980
1946619,2,0.026666667,1290495,1668
2039605,2,0.02640264,299566,8060
1821822,2,0.026315789,363999,8060
2100234,2,0.025559105,882756,7980
1937714,2,0.025454545,349667,7980
1828466,2,0.025396825,2998314,"1997, 7261"
1820666,2,0.025316456,882952,1668
1903152,2,0.025316456,36907,7261
1828822,2,0.02507837,3018896,"1997, 7261"
2000865,2,0.024911032,496963,7980
1761249,2,0.024539877,492531,7980
