document,topic,gamma
1922560,3,0.011904762
2125921,3,0.011976048
1927550,3,0.012096774
2125733,3,0.012195122
1856384,3,0.012232416
2039637,3,0.012307692
2125727,3,0.012307692
2125940,3,0.012345679
2022138,3,0.012345679
1934782,3,0.0125
1806815,3,0.0125
2038483,3,0.012658228
1820666,3,0.012658228
1903152,3,0.012658228
1842678,3,0.012711864
1806908,3,0.012779553
2100234,3,0.012779553
2039612,3,0.012820513
1914613,3,0.012987013
2125483,3,0.013333333
2139901,3,0.013333333
1937738,3,0.013468013
1821753,3,0.013574661
2100343,3,0.013605442
2114981,3,0.013651877
1806698,3,0.01369863
1760993,3,0.01369863
1806664,3,0.013793103
1922666,3,0.013850416
2054920,3,0.013888889
2022168,3,0.014005602
1806904,3,0.014084507
1806705,3,0.014134276
2113981,3,0.014285714
1821560,3,0.014354067
1954967,3,0.014409222
1820573,3,0.014492754
1956193,3,0.014563107
1842074,3,0.014705882
1855886,3,0.01497006
1828571,3,0.015015015
2114808,3,0.015060241
1937251,3,0.015151515
2114952,3,0.01529052
2105251,3,0.015384615
2114824,3,0.015625
1848789,3,0.015673981
1828822,3,0.015673981
1921485,3,0.015923567
2043104,3,0.016129032
2115025,3,0.016129032
1922639,3,0.016172507
1943041,3,0.016260163
1761158,3,0.01659751
2042882,3,0.016620499
2125758,3,0.016627078
2125872,3,0.016746411
2043106,3,0.016806723
1921813,3,0.016806723
1754014,3,0.016949153
2025686,3,0.017045455
1922512,3,0.017045455
1856346,3,0.017123288
1920550,3,0.017182131
1841792,3,0.017241379
1761008,3,0.017301038
2000750,3,0.01734104
1922697,3,0.01734104
1828869,3,0.017391304
1954923,3,0.017492711
1954776,3,0.018050542
2039583,3,0.018126888
1900210,3,0.018181818
2125913,3,0.018181818
2043237,3,0.018348624
2105726,3,0.018348624
1922004,3,0.018372703
1941415,3,0.018404908
1828974,3,0.018766756
2043302,3,0.018808777
1922270,3,0.018987342
1828149,3,0.019283747
1954978,3,0.019354839
1946537,3,0.019444444
1828942,3,0.019498607
1835309,3,0.019553073
2105801,3,0.019607843
1821666,3,0.019685039
1807056,3,0.019736842
1821829,3,0.020100503
2021744,3,0.02027027
2104532,3,0.020618557
1922649,3,0.021108179
1856189,3,0.021148036
1946619,3,0.021333333
1946557,3,0.021917808
2105723,3,0.022140221
2054968,3,0.022364217
1954946,3,0.022435897
2122416,3,0.022641509
2041856,3,0.022727273
2022040,3,0.022792023
1920529,3,0.022988506
2039408,3,0.023076923
1922687,3,0.023316062
2100355,3,0.023668639
2021871,3,0.023684211
2037360,3,0.024390244
1754085,3,0.024561404
1915780,3,0.024590164
1829075,3,0.024725275
1914771,3,0.024896266
2042416,3,0.024922118
2100155,3,0.024922118
2114660,3,0.025236593
2032122,3,0.025316456
1947295,3,0.025477707
1828910,3,0.025568182
2025257,3,0.025806452
2032292,3,0.026162791
1820685,3,0.026217228
1807086,3,0.026392962
1723734,3,0.026666667
2039634,3,0.026706231
2038029,3,0.026865672
1955062,3,0.026946108
2125798,3,0.027247956
2100139,3,0.027303754
2113803,3,0.027607362
2039606,3,0.027607362
1750038,3,0.027667984
1926789,3,0.027667984
2043022,3,0.027692308
2125748,3,0.027707809
1828820,3,0.027777778
1928820,3,0.028571429
1922642,3,0.028818444
1946607,3,0.029032258
2043250,3,0.029508197
2125295,3,0.029585799
2042996,3,0.029739777
1912474,3,0.029891304
1940221,3,0.030120482
1806874,3,0.030674847
2125510,3,0.030898876
1922758,3,0.031791908
1922694,3,0.031862745
1922551,3,0.031976744
1922761,3,0.032345013
2125362,3,0.032663317
2021540,3,0.032967033
2043084,3,0.033333333
1829008,3,0.033333333
2041788,3,0.033333333
2039610,3,0.034013605
1901733,3,0.034013605
1846321,3,0.034482759
2039445,3,0.034602076
1855841,3,0.035335689
1828993,3,0.035483871
2031066,3,0.035842294
1821841,3,0.035897436
1955049,3,0.036253776
2000599,3,0.036474164
2022036,3,0.036585366
2021900,3,0.036827195
2125677,3,0.037688442
2039616,3,0.03785489
1828466,3,0.038095238
2113955,3,0.038167939
1828902,3,0.038575668
1922579,3,0.039344262
2039288,3,0.039344262
1921576,3,0.03986711
2126023,3,0.04048583
2021874,3,0.041002278
2028397,3,0.041044776
1937778,3,0.041297935
1821775,3,0.041474654
1821822,3,0.042105263
1820609,3,0.042372881
1922202,3,0.042372881
2123024,3,0.04245283
1821794,3,0.043062201
1946626,3,0.043650794
2017950,3,0.043859649
1754092,3,0.044444444
1922658,3,0.044585987
1820640,3,0.044642857
1946650,3,0.045045045
1829071,3,0.045901639
1828288,3,0.046391753
2140003,3,0.046666667
2025349,3,0.046822742
2125606,3,0.047486034
2114892,3,0.048275862
1946599,3,0.05015674
2115028,3,0.05019305
2022023,3,0.050480769
1922072,3,0.050583658
1922598,3,0.050847458
2021628,3,0.051351351
2011117,3,0.051792829
2125865,3,0.052054795
1821766,3,0.052083333
1821788,3,0.053475936
1821744,3,0.055837563
1919004,3,0.058035714
1931724,3,0.058823529
2105718,3,0.059322034
1806889,3,0.059748428
1753681,3,0.059936909
2125703,3,0.061452514
1822567,3,0.0625
1844136,3,0.063218391
2125858,3,0.066115702
1953525,3,0.066115702
2125906,3,0.070224719
1922180,3,0.070422535
2039354,3,0.073260073
1821780,3,0.07421875
2125528,3,0.074285714
2125644,3,0.077956989
1922291,3,0.078358209
1954259,3,0.079365079
1753900,3,0.081699346
1946493,3,0.082539683
1931800,3,0.085714286
2105555,3,0.086021505
1907537,3,0.086065574
2029632,3,0.086206897
1922591,3,0.08716707
1753983,3,0.090497738
2039605,3,0.095709571
2114200,3,0.103202847
2113839,3,0.104575163
1854494,3,0.137339056
2021585,3,0.138801262
1922169,3,0.155893536
2028426,3,0.166666667
1828010,3,0.180156658
2042700,3,0.205696203
1829004,3,0.240223464
2021871,4,0.005263158
2125798,4,0.005449591
2025686,4,0.005681818
1922551,4,0.005813953
2114952,4,0.006116208
2054968,4,0.006389776
2105801,4,0.006535948
1922598,4,0.007263923
2125748,4,0.007556675
1949922,4,0.007722008
1828010,4,0.007832898
2125644,4,0.008064516
2100134,4,0.00877193
2100355,4,0.00887574
2039634,4,0.008902077
1822567,4,0.008928571
2043022,4,0.009230769
1806815,4,0.009375
1920560,4,0.009708738
1842096,4,0.009868421
2126031,4,0.009933775
1760831,4,0.010178117
2100343,4,0.010204082
2100139,4,0.010238908
1920550,4,0.010309278
2043104,4,0.010752688
2021628,4,0.010810811
1937714,4,0.010909091
2021540,4,0.010989011
1855925,4,0.010989011
2125606,4,0.011173184
2032292,4,0.011627907
2037658,4,0.011764706
1819521,4,0.011811024
1806593,4,0.011820331
2125872,4,0.011961722
2022023,4,0.012019231
2043237,4,0.012232416
2039637,4,0.012307692
2028426,4,0.012345679
1953525,4,0.012396694
1806889,4,0.012578616
1754054,4,0.012658228
1903152,4,0.012658228
1954259,4,0.012698413
1921485,4,0.012738854
1806607,4,0.013020833
2017950,4,0.013157895
2021693,4,0.013227513
2140003,4,0.013333333
1828974,4,0.013404826
1922639,4,0.013477089
1919326,4,0.013513514
2024584,4,0.013605442
